age,income_usd,savings_usd,time_horizon,risk_tolerance,goal,stocks,etfs,bonds,crypto,cash,risk_score,risk_label,expected_return_pct
64,76000,66500,3,medium,retirement,28.6,25.7,32.7,0.6,12.4,37.8,Medium,7.7
42,39000,27500,15,medium,wealth_building,44.5,25.1,18.5,4.9,7.0,53.3,Medium,9.4
64,82000,54000,10,high,retirement,49.2,22.7,14.2,8.8,5.1,82.2,High,9.2
36,49000,17000,20,high,children_education,56.1,21.9,7.0,10.0,5.0,78.6,High,11.8
37,47000,31000,15,high,wealth_building,55.8,22.0,7.3,10.0,4.9,82.6,High,12.3
50,61000,16500,10,low,retirement,22.3,20.2,37.9,1.4,18.2,18.6,Low,6.0
43,49000,30500,10,low,house,24.2,20.1,35.8,1.8,18.1,25.8,Low,6.6
41,61000,25000,7,medium,children_education,44.8,25.0,18.3,4.9,7.0,62.7,Medium,8.7
46,55000,9000,10,low,retirement,23.4,20.1,36.7,1.7,18.1,24.9,Low,5.3
58,71000,67500,3,low,wealth_preservation,9.8,20.4,48.4,-2.1,23.5,0.0,Low,6.8
29,38000,8500,25,high,house,57.9,21.9,5.3,9.9,5.0,92.3,High,11.0
44,55000,13500,7,medium,retirement,44.0,25.1,19.1,4.8,7.0,61.1,Medium,8.7
30,46000,15500,30,medium,retirement,47.7,24.9,15.5,5.0,6.9,53.1,Medium,6.6
29,32000,4500,15,medium,retirement,48.0,24.8,15.3,5.0,6.9,57.2,Medium,7.8
40,51000,34000,10,medium,wealth_building,45.0,25.0,18.0,5.0,7.0,62.6,Medium,9.7
25,40000,16000,20,medium,house,49.1,24.8,14.3,5.0,6.8,57.7,Medium,8.2
43,50000,34000,5,medium,children_education,44.3,25.1,18.8,4.8,7.0,52.8,Medium,9.6
40,44000,19000,10,medium,retirement,45.0,25.0,18.0,5.0,7.0,62.7,Medium,7.8
23,23000,4500,15,high,house,59.5,21.8,3.9,9.9,4.9,87.5,High,13.1
51,55000,34500,5,low,retirement,22.0,20.3,38.1,1.4,18.2,24.8,Low,4.4
33,54000,23000,25,high,house,56.9,21.9,6.3,10.0,4.9,78.3,High,10.4
27,32000,5000,20,medium,retirement,48.5,24.8,14.8,5.0,6.9,57.2,Medium,9.6
26,20000,10000,15,medium,education,48.8,24.8,14.5,5.0,6.9,62.7,Medium,9.5
52,57000,43000,10,low,passive_income,21.7,20.3,38.4,1.3,18.3,22.3,Low,4.8
50,59000,31000,5,medium,retirement,42.5,25.3,20.6,4.5,7.1,55.8,Medium,8.6
33,34000,12500,25,medium,house,46.9,24.9,16.3,5.0,6.9,54.7,Medium,7.0
25,29000,10500,30,low,house,29.2,19.8,31.1,2.0,17.9,28.8,Low,5.2
35,47000,10500,5,low,house,26.4,19.9,33.7,2.0,18.0,29.2,Low,6.5
28,32000,5500,20,high,wealth_building,58.2,21.8,5.1,9.9,5.0,91.6,High,12.1
35,43000,25500,10,medium,house,46.4,24.9,16.7,5.0,7.0,67.1,High,7.6
49,50000,45000,10,medium,wealth_building,42.8,25.3,20.4,4.5,7.0,60.1,Medium,8.7
28,39000,9500,15,low,house,28.4,19.9,31.9,2.0,17.8,27.5,Low,5.6
57,65000,31500,3,low,retirement,10.1,20.4,48.1,-2.1,23.5,2.6,Low,5.7
49,60000,50000,7,high,retirement,52.9,22.2,10.3,9.6,5.0,93.5,High,11.4
51,58000,45500,5,low,passive_income,22.0,20.3,38.1,1.4,18.2,22.6,Low,5.6
32,34000,20000,25,medium,house,47.2,24.9,16.0,5.0,6.9,51.8,Medium,9.8
29,40000,15500,10,high,education,57.9,21.9,5.3,9.9,5.0,100.0,High,12.4
46,61000,16500,10,low,retirement,23.4,20.1,36.7,1.7,18.1,28.0,Low,6.2
62,73000,23500,10,high,retirement,49.7,22.6,13.6,8.9,5.2,79.9,High,14.5
55,85000,46500,2,medium,wealth_preservation,31.1,25.5,30.1,1.1,12.2,63.6,Medium,6.5
34,51000,32500,20,medium,wealth_building,46.6,24.9,16.5,5.0,7.0,44.2,Medium,8.1
31,32000,6000,25,medium,education,47.4,24.9,15.8,5.0,6.9,53.4,Medium,7.8
42,46000,37500,7,medium,retirement,44.5,25.1,18.5,4.9,7.0,64.0,Medium,10.0
40,46000,29000,7,high,retirement,55.0,22.0,8.0,10.0,5.0,92.9,High,10.1
23,52000,5500,30,high,house,59.5,21.8,3.9,9.9,4.9,85.7,High,11.6
36,37000,8500,15,high,retirement,56.1,21.9,7.0,10.0,5.0,83.8,High,10.6
44,54000,14000,15,low,retirement,23.9,20.1,36.1,1.8,18.1,16.5,Low,4.7
31,42000,8000,30,medium,retirement,47.4,24.9,15.8,5.0,6.9,53.5,Medium,7.4
47,62000,29000,15,medium,retirement,43.3,25.2,19.8,4.6,7.1,51.6,Medium,9.6
22,20000,8000,30,medium,retirement,49.9,24.7,13.5,4.9,7.0,67.6,High,7.8
42,60000,25500,10,medium,retirement,44.5,25.1,18.5,4.9,7.0,56.2,Medium,9.8
49,70000,57000,10,medium,retirement,42.8,25.3,20.4,4.5,7.0,59.9,Medium,8.4
44,51000,38500,20,medium,retirement,44.0,25.1,19.1,4.8,7.0,49.7,Medium,7.5
22,20000,5500,30,high,retirement,59.8,21.8,3.6,9.9,4.9,92.6,High,9.1
28,50000,20000,20,high,house,58.2,21.8,5.1,9.9,5.0,95.6,High,11.3
40,49000,26000,7,medium,retirement,45.0,25.0,18.0,5.0,7.0,63.2,Medium,7.7
47,65000,34500,15,high,children_education,53.3,22.2,9.8,9.7,5.0,73.6,High,10.3
23,36000,3500,25,low,house,29.8,19.8,30.6,2.0,17.8,20.1,Low,6.3
27,37000,11500,30,medium,retirement,48.5,24.8,14.8,5.0,6.9,58.4,Medium,9.4
51,53000,35500,3,medium,travel,32.1,25.3,29.0,1.4,12.2,51.4,Medium,7.0
64,66000,52000,7,low,wealth_preservation,18.3,20.6,42.0,0.6,18.5,10.0,Low,6.0
46,55000,29000,7,high,wealth_building,53.6,22.2,9.5,9.7,5.0,93.4,High,9.2
46,65000,11500,15,medium,wealth_building,43.5,25.2,19.6,4.7,7.0,51.4,Medium,9.9
63,84000,92000,3,high,retirement,39.2,22.6,22.1,5.8,10.3,64.2,Medium,12.6
31,32000,15500,15,medium,house,47.4,24.9,15.8,5.0,6.9,59.1,Medium,9.3
34,51000,23500,20,medium,wealth_building,46.6,24.9,16.5,5.0,7.0,54.6,Medium,6.6
55,72000,66000,10,medium,wealth_preservation,41.2,25.5,22.0,4.2,7.1,58.6,Medium,7.9
39,58000,44500,15,medium,retirement,45.3,25.0,17.7,5.0,7.0,53.9,Medium,9.1
31,38000,9500,20,medium,retirement,47.4,24.9,15.8,5.0,6.9,50.8,Medium,6.6
68,66000,66000,3,high,wealth_preservation,37.9,22.8,23.5,5.5,10.3,58.3,Medium,9.5
37,66000,15000,20,medium,wealth_building,45.8,25.0,17.2,5.0,7.0,50.3,Medium,8.8
43,43000,11500,7,medium,children_education,44.3,25.1,18.8,4.8,7.0,61.9,Medium,7.7
25,31000,12500,30,medium,wealth_building,49.1,24.8,14.3,5.0,6.8,55.5,Medium,7.3
31,60000,24000,15,high,retirement,57.4,21.9,5.8,9.9,5.0,87.5,High,9.8
56,71000,50000,2,medium,retirement,30.8,25.5,30.4,1.1,12.2,55.6,Medium,7.4
47,53000,17500,15,medium,wealth_building,43.3,25.2,19.8,4.6,7.1,50.5,Medium,8.2
39,60000,21500,15,low,retirement,25.3,20.0,34.7,2.0,18.0,19.5,Low,6.6
51,69000,62500,5,high,passive_income,52.4,22.3,10.8,9.5,5.0,91.3,High,13.1
43,50000,38500,15,medium,children_education,44.3,25.1,18.8,4.8,7.0,53.5,Medium,7.0
34,39000,22500,30,medium,retirement,46.6,24.9,16.5,5.0,7.0,55.5,Medium,7.5
43,55000,18000,10,medium,children_education,44.3,25.1,18.8,4.8,7.0,61.9,Medium,6.9
49,67000,29500,10,high,retirement,52.9,22.2,10.3,9.6,5.0,90.3,High,14.6
45,56000,38000,5,low,retirement,23.6,20.1,36.4,1.7,18.2,24.8,Low,5.9
24,35000,3000,10,medium,house,49.3,24.8,14.0,5.0,6.9,68.2,High,9.2
45,44000,39500,10,medium,retirement,43.8,25.2,19.3,4.7,7.0,59.4,Medium,9.3
46,68000,24500,20,medium,retirement,43.5,25.2,19.6,4.7,7.0,56.1,Medium,9.8
37,38000,11000,20,medium,wealth_building,45.8,25.0,17.2,5.0,7.0,59.6,Medium,7.3
31,41000,12000,35,medium,education,47.4,24.9,15.8,5.0,6.9,53.1,Medium,7.1
55,71000,68000,7,low,retirement,20.9,20.4,39.3,1.1,18.3,26.4,Low,4.1
60,81000,55000,2,medium,passive_income,29.7,25.6,31.6,0.8,12.3,52.0,Medium,8.0
30,34000,13500,20,low,house,27.8,19.9,32.4,2.0,17.9,19.7,Low,5.4
22,29000,7000,30,high,wealth_building,59.8,21.8,3.6,9.9,4.9,87.6,High,14.2
50,63000,16000,3,high,retirement,42.5,22.3,18.6,6.5,10.1,75.8,High,12.0
43,59000,9000,10,medium,retirement,44.3,25.1,18.8,4.8,7.0,68.7,High,7.7
23,30000,4000,25,low,wealth_building,29.8,19.8,30.6,2.0,17.8,23.2,Low,4.6
29,41000,18000,10,high,retirement,57.9,21.9,5.3,9.9,5.0,95.9,High,12.2
47,63000,49500,10,high,retirement,53.3,22.2,9.8,9.7,5.0,93.3,High,14.4
41,51000,29500,10,low,retirement,24.7,20.0,35.3,1.9,18.1,32.8,Low,4.2
32,34000,18000,30,medium,house,47.2,24.9,16.0,5.0,6.9,51.8,Medium,9.0
31,32000,14500,15,medium,retirement,47.4,24.9,15.8,5.0,6.9,56.3,Medium,8.1
55,73000,42000,3,medium,travel,31.1,25.5,30.1,1.1,12.2,50.0,Medium,6.6
55,54000,46000,5,high,travel,51.4,22.4,11.8,9.3,5.1,96.6,High,11.5
33,50000,11500,30,low,wealth_building,27.0,19.9,33.2,2.0,17.9,20.0,Low,4.4
47,63000,34000,7,high,retirement,53.3,22.2,9.8,9.7,5.0,89.5,High,12.1
35,36000,12500,20,medium,children_education,46.4,24.9,16.7,5.0,7.0,54.6,Medium,7.6
50,51000,11500,3,medium,retirement,32.4,25.3,28.7,1.4,12.2,46.8,Medium,9.4
37,53000,29500,7,medium,retirement,45.8,25.0,17.2,5.0,7.0,57.4,Medium,9.1
45,67000,50500,10,high,retirement,53.8,22.1,9.3,9.8,5.0,90.8,High,9.7
32,42000,25500,10,medium,house,47.2,24.9,16.0,5.0,6.9,61.1,Medium,9.8
34,40000,8000,35,high,retirement,56.6,21.9,6.5,10.0,5.0,83.4,High,14.7
44,55000,29000,10,low,retirement,23.9,20.1,36.1,1.8,18.1,31.2,Low,4.1
34,37000,18500,35,medium,wealth_building,46.6,24.9,16.5,5.0,7.0,56.1,Medium,8.1
55,70000,66500,10,low,retirement,20.9,20.4,39.3,1.1,18.3,19.9,Low,5.9
55,63000,65500,5,low,retirement,20.9,20.4,39.3,1.1,18.3,23.8,Low,6.0
36,41000,21000,20,medium,wealth_building,46.1,24.9,17.0,5.0,7.0,54.3,Medium,7.9
55,69000,59500,7,medium,retirement,41.2,25.5,22.0,4.2,7.1,64.2,Medium,8.8
52,68000,37500,7,medium,retirement,42.0,25.4,21.2,4.3,7.1,61.7,Medium,6.5
34,34000,17500,25,medium,retirement,46.6,24.9,16.5,5.0,7.0,46.9,Medium,7.8
31,42000,19000,30,medium,house,47.4,24.9,15.8,5.0,6.9,51.2,Medium,9.5
40,48000,17500,10,medium,house,45.0,25.0,18.0,5.0,7.0,62.3,Medium,8.4
43,61000,40000,20,medium,retirement,44.3,25.1,18.8,4.8,7.0,53.9,Medium,6.5
44,54000,44500,5,high,retirement,54.1,22.1,9.0,9.8,5.0,92.9,High,9.6
39,43000,14000,15,medium,retirement,45.3,25.0,17.7,5.0,7.0,48.7,Medium,8.6
47,55000,14000,7,low,retirement,23.1,20.2,37.0,1.6,18.1,19.6,Low,5.6
47,61000,22000,20,medium,children_education,43.3,25.2,19.8,4.6,7.1,46.8,Medium,8.4
24,36000,11500,30,medium,retirement,49.3,24.8,14.0,5.0,6.9,60.9,Medium,7.2
43,64000,50500,10,medium,children_education,44.3,25.1,18.8,4.8,7.0,60.4,Medium,7.5
52,77000,19500,5,medium,passive_income,42.0,25.4,21.2,4.3,7.1,55.8,Medium,7.1
48,58000,13500,5,low,house,22.8,20.2,37.3,1.5,18.2,27.3,Low,5.6
31,52000,18500,35,high,wealth_building,57.4,21.9,5.8,9.9,5.0,77.0,High,11.4
37,56000,41000,7,medium,children_education,45.8,25.0,17.2,5.0,7.0,67.4,High,8.5
32,33000,10000,15,medium,retirement,47.2,24.9,16.0,5.0,6.9,51.0,Medium,9.3
31,49000,21500,25,medium,house,47.4,24.9,15.8,5.0,6.9,54.5,Medium,8.8
69,87000,93000,5,medium,passive_income,37.6,25.9,25.9,3.4,7.2,52.4,Medium,9.9
29,30000,10500,15,medium,wealth_building,48.0,24.8,15.3,5.0,6.9,61.9,Medium,7.7
45,53000,14000,20,high,house,53.8,22.1,9.3,9.8,5.0,75.5,High,14.1
40,46000,29500,7,high,children_education,55.0,22.0,8.0,10.0,5.0,93.2,High,13.3
23,23000,5000,15,high,house,59.5,21.8,3.9,9.9,4.9,86.6,High,10.8
36,64000,27500,20,medium,wealth_building,46.1,24.9,17.0,5.0,7.0,48.6,Medium,9.5
30,36000,19500,35,high,wealth_building,57.7,21.9,5.6,9.9,4.9,88.6,High,10.8
26,25000,9500,20,high,house,58.7,21.8,4.6,9.9,5.0,88.2,High,13.9
28,57000,25500,20,medium,house,48.3,24.8,15.0,5.0,6.9,58.4,Medium,7.0
35,50000,18500,10,medium,retirement,46.4,24.9,16.7,5.0,7.0,63.6,Medium,6.9
44,61000,38000,7,medium,children_education,44.0,25.1,19.1,4.8,7.0,56.2,Medium,8.1
25,29000,4000,20,medium,wealth_building,49.1,24.8,14.3,5.0,6.8,58.5,Medium,6.7
40,39000,21500,10,medium,retirement,45.0,25.0,18.0,5.0,7.0,66.0,High,9.6
38,45000,17500,15,low,children_education,25.6,20.0,34.5,2.0,17.9,13.6,Low,4.0
37,45000,13000,15,medium,house,45.8,25.0,17.2,5.0,7.0,52.9,Medium,7.3
22,22000,6000,25,high,retirement,59.8,21.8,3.6,9.9,4.9,90.2,High,11.9
29,48000,15500,25,medium,house,48.0,24.8,15.3,5.0,6.9,55.9,Medium,9.2
57,77000,46500,3,high,retirement,40.7,22.5,20.5,6.1,10.2,61.6,Medium,14.4
38,60000,41500,10,low,retirement,25.6,20.0,34.5,2.0,17.9,33.2,Medium,5.6
29,39000,16500,10,medium,wealth_building,48.0,24.8,15.3,5.0,6.9,76.3,High,6.8
25,27000,5500,20,low,wealth_building,29.2,19.8,31.1,2.0,17.9,30.9,Low,4.6
29,41000,19000,20,medium,retirement,48.0,24.8,15.3,5.0,6.9,56.6,Medium,9.9
33,48000,15500,20,medium,house,46.9,24.9,16.3,5.0,6.9,58.9,Medium,9.2
44,52000,44500,15,medium,wealth_building,44.0,25.1,19.1,4.8,7.0,51.5,Medium,8.6
42,60000,36000,7,medium,wealth_building,44.5,25.1,18.5,4.9,7.0,64.3,Medium,7.3
36,33000,16000,20,medium,retirement,46.1,24.9,17.0,5.0,7.0,45.3,Medium,7.2
56,57000,54000,7,high,travel,51.2,22.4,12.1,9.2,5.1,82.0,High,10.5
49,72000,54500,15,low,retirement,22.5,20.2,37.6,1.5,18.2,14.8,Low,5.6
68,80000,84000,7,medium,retirement,37.9,25.9,25.6,3.4,7.2,44.4,Medium,9.4
48,80000,45500,7,low,children_education,22.8,20.2,37.3,1.5,18.2,29.8,Low,6.6
44,51000,24500,5,medium,children_education,44.0,25.1,19.1,4.8,7.0,63.3,Medium,10.0
27,46000,8500,25,low,house,28.7,19.8,31.6,2.0,17.9,23.7,Low,4.6
35,48000,5500,15,medium,children_education,46.4,24.9,16.7,5.0,7.0,59.2,Medium,7.2
65,67000,25500,3,high,travel,38.7,22.7,22.7,5.7,10.2,59.6,Medium,11.2
38,54000,27000,10,medium,children_education,45.5,25.0,17.5,5.0,7.0,64.1,Medium,6.5
43,65000,13500,10,medium,house,44.3,25.1,18.8,4.8,7.0,59.3,Medium,6.7
42,69000,39000,15,high,retirement,54.5,22.1,8.5,9.9,5.0,89.3,High,14.0
40,61000,37000,15,medium,retirement,45.0,25.0,18.0,5.0,7.0,49.8,Medium,7.0
34,38000,9000,25,low,education,26.7,19.9,33.4,2.0,18.0,18.5,Low,6.8
44,71000,51500,7,medium,children_education,44.0,25.1,19.1,4.8,7.0,57.1,Medium,7.8
42,44000,17500,10,medium,retirement,44.5,25.1,18.5,4.9,7.0,63.3,Medium,9.4
32,27000,16500,20,medium,wealth_building,47.2,24.9,16.0,5.0,6.9,54.6,Medium,9.4
30,38000,13000,15,medium,wealth_building,47.7,24.9,15.5,5.0,6.9,59.8,Medium,8.2
38,56000,12500,10,medium,children_education,45.5,25.0,17.5,5.0,7.0,65.9,Medium,8.8
64,69000,33000,10,medium,retirement,38.9,25.7,24.5,3.7,7.2,42.4,Medium,9.2
38,45000,7500,20,medium,house,45.5,25.0,17.5,5.0,7.0,52.7,Medium,7.9
35,48000,21500,20,medium,retirement,46.4,24.9,16.7,5.0,7.0,53.7,Medium,7.4
48,52000,32000,10,high,house,53.1,22.2,10.0,9.6,5.1,92.6,High,11.1
27,33000,6500,35,high,house,58.4,21.8,4.8,9.9,5.1,87.3,High,9.7
54,63000,51500,5,medium,retirement,41.5,25.4,21.7,4.2,7.2,59.2,Medium,8.2
29,35000,10500,30,medium,retirement,48.0,24.8,15.3,5.0,6.9,67.4,High,8.3
52,58000,49500,3,medium,retirement,31.9,25.4,29.3,1.3,12.1,47.1,Medium,7.7
49,51000,45000,15,high,retirement,52.9,22.2,10.3,9.6,5.0,80.5,High,11.7
68,80000,100500,5,medium,retirement,37.9,25.9,25.6,3.4,7.2,41.8,Medium,8.8
52,73000,73500,3,medium,retirement,31.9,25.4,29.3,1.3,12.1,45.1,Medium,9.3
42,64000,26500,20,medium,retirement,44.5,25.1,18.5,4.9,7.0,54.0,Medium,8.9
51,68000,64000,3,high,retirement,42.3,22.3,18.9,6.4,10.1,76.0,High,10.2
30,42000,7500,25,low,retirement,27.8,19.9,32.4,2.0,17.9,22.8,Low,6.6
51,66000,34500,10,low,passive_income,22.0,20.3,38.1,1.4,18.2,24.8,Low,4.5
56,58000,11500,5,medium,passive_income,41.0,25.5,22.3,4.1,7.1,47.1,Medium,9.6
26,28000,13000,30,medium,wealth_building,48.8,24.8,14.5,5.0,6.9,62.3,Medium,7.6
39,49000,18000,10,high,retirement,55.3,22.0,7.8,10.0,4.9,97.7,High,10.0
47,55000,23500,10,low,children_education,23.1,20.2,37.0,1.6,18.1,24.3,Low,5.9
35,45000,31000,10,medium,children_education,46.4,24.9,16.7,5.0,7.0,68.2,High,7.6
45,54000,42000,7,low,children_education,23.6,20.1,36.4,1.7,18.2,28.5,Low,5.5
33,51000,32000,35,low,wealth_building,27.0,19.9,33.2,2.0,17.9,14.0,Low,6.0
32,44000,18000,15,medium,house,47.2,24.9,16.0,5.0,6.9,56.5,Medium,9.5
41,55000,11500,10,medium,children_education,44.8,25.0,18.3,4.9,7.0,61.8,Medium,9.7
33,40000,24500,30,high,retirement,56.9,21.9,6.3,10.0,4.9,86.6,High,14.8
47,67000,25500,15,medium,children_education,43.3,25.2,19.8,4.6,7.1,48.4,Medium,8.4
27,21000,7500,20,medium,wealth_building,48.5,24.8,14.8,5.0,6.9,58.6,Medium,6.7
58,73000,56000,7,medium,retirement,40.5,25.6,22.8,4.0,7.1,51.2,Medium,7.3
51,62000,63000,7,medium,retirement,42.3,25.3,20.9,4.4,7.1,57.6,Medium,9.4
43,57000,42000,15,low,house,24.2,20.1,35.8,1.8,18.1,19.6,Low,5.3
34,56000,25500,35,medium,house,46.6,24.9,16.5,5.0,7.0,52.1,Medium,8.7
42,46000,23000,7,medium,house,44.5,25.1,18.5,4.9,7.0,65.0,Medium,8.8
64,88000,66500,5,medium,retirement,38.9,25.7,24.5,3.7,7.2,48.4,Medium,7.8
39,49000,12500,10,medium,retirement,45.3,25.0,17.7,5.0,7.0,54.3,Medium,8.3
22,39000,11000,25,high,education,59.8,21.8,3.6,9.9,4.9,88.1,High,11.4
26,28000,6500,25,high,house,58.7,21.8,4.6,9.9,5.0,90.7,High,13.2
69,79000,54000,5,medium,travel,37.6,25.9,25.9,3.4,7.2,42.0,Medium,9.0
43,63000,52000,15,medium,house,44.3,25.1,18.8,4.8,7.0,49.4,Medium,6.7
32,43000,20500,15,medium,house,47.2,24.9,16.0,5.0,6.9,51.4,Medium,7.8
28,49000,6000,15,medium,education,48.3,24.8,15.0,5.0,6.9,57.6,Medium,8.8
45,67000,10500,10,high,house,53.8,22.1,9.3,9.8,5.0,84.2,High,14.2
47,60000,16000,5,medium,retirement,43.3,25.2,19.8,4.6,7.1,57.6,Medium,8.2
42,38000,24500,15,high,children_education,54.5,22.1,8.5,9.9,5.0,84.7,High,11.6
45,50000,37000,10,low,children_education,23.6,20.1,36.4,1.7,18.2,22.1,Low,6.6
60,58000,45500,3,low,passive_income,9.2,20.5,49.0,-2.3,23.6,0.0,Low,6.1
36,45000,9500,15,medium,retirement,46.1,24.9,17.0,5.0,7.0,48.3,Medium,6.6
44,45000,9000,10,medium,children_education,44.0,25.1,19.1,4.8,7.0,66.2,High,8.6
35,61000,12000,10,medium,house,46.4,24.9,16.7,5.0,7.0,61.5,Medium,9.9
36,38000,5000,15,medium,retirement,46.1,24.9,17.0,5.0,7.0,51.7,Medium,9.7
28,36000,18500,30,high,education,58.2,21.8,5.1,9.9,5.0,90.2,High,10.7
65,66000,38500,5,medium,passive_income,38.7,25.8,24.7,3.6,7.2,39.7,Medium,8.4
49,61000,25000,7,medium,retirement,42.8,25.3,20.4,4.5,7.0,64.9,Medium,7.7
32,42000,12500,25,medium,house,47.2,24.9,16.0,5.0,6.9,55.9,Medium,8.7
39,53000,26500,10,medium,retirement,45.3,25.0,17.7,5.0,7.0,66.2,High,6.6
39,38000,29000,20,low,house,25.3,20.0,34.7,2.0,18.0,19.1,Low,6.6
28,34000,16000,20,high,education,58.2,21.8,5.1,9.9,5.0,90.4,High,9.9
38,49000,33000,10,medium,retirement,45.5,25.0,17.5,5.0,7.0,64.3,Medium,7.2
